,Nom de l'entreprise,Numéro et voie,Ville,Code postal,Commune,Numéro de téléphone,Numéro de fax,Site internet,E-mail générique,Numéro Siren,"Chiffre d'affaires net (H.T.)
kEUR
Dernière année disp.","Chiffre d'affaires net (H.T.)
kEUR
Année - 1","Dirigeant
Nom complet","Dirigeant
Personne physique ou morale",Description de l’activité,Activité principale de l'entreprise INSEE,"NAF Rév. 2, code principal (code)","Dirigeant
Age","Dirigeant
Nom",Commentaires 
7773.,CITYA LE CANNET,73 AVENUE DU CAMPON,LE CANNET,06110,Le Cannet,04 92 98 76 10,04 92 98 76 39,le-cannet.citya.com,,325803757,"1,596","1,836",Mme Sabrina Gardie,Personne,Administration de biens gérance syndic de copropriété location et transactions de biens immobiliers mandataire intermédiaire d'assurance.,Administration d'immeubles et autres biens immobiliers,6832A,40,Gardie,
6290.,CASAGRANDE ET ASSOCIES,14 BOULEVARD PAUL DOUMER,LE CANNET,06110,Le Cannet,04 92 18 61 90,04 93 43 20 14,www.ms-casagrande.com,acceuil@casagrandegti.com,326255981,"2,137","2,059",Mme Veronique Bonnefoy,Personne,Expert comptable.,Activités comptables,6920Z,42,Bonnefoy,
7415.,AGECO CANNES,116 BOULEVARD SADI CARNOT,LE CANNET,06110,Le Cannet,04 93 45 98 98,04 93 45 73 23,www.ageco-ec.fr/expertise-comptable/accueil.asp,ageco-cannes@orange.fr,493173850,"1,709","1,553",M. Alain Lahmi,Personne,Exercice de la profession d'expert-comptable.,Activités comptables,6920Z,57,Lahmi,
7972.,A&S EXPERTISE,11 CHEMIN DE L INDUSTRIE,LE CANNET,06110,Le Cannet,04 93 45 76 43,04 93 69 93 95,www.asexpertise.com,contact@asexpertise.com,380560441,"1,535","1,489",M. Christian Martino,Personne,Expert-comptable,Activités comptables,6920Z,60,Martino,
9340.,GAZELLE COMMUNICATION,1 BOULEVARD PAUL DOUMER,LE CANNET,06110,Le Cannet,04 92 18 66 06,04 93 69 89 95,www.agencegazelle.com,,382812865,"1,166",957,M. Didier Halloo,Personne,Agent en publicite,Activités des agences de publicité,7311Z,49,Halloo,
3764.,MEDITERRANEE CONSEILS SERVICES,BOULEVARD GAMBETTA,LE CANNET,06110,Le Cannet,04 93 38 70 12,04 93 38 55 67,,contact@mcs06.com,349837575,"3,809","3,883",M. Rodolphe Wermuth,Personne,Entretien aménagement de locaux toute opération industrielle commerciale et financière mobilière et immobilière pouvant se rattacher directement ou indirectement à l'objet social et à tous objets similaires ou connexes la participation de la société par tous moyens à toutes entreprises ou sociétés créées ou à créer pouvant se rattacher à l'objet social notamment par voie de création de sociétés nouvelles d'apport commandite souscription ou rachat de titres ou droits sociaux fusion alliance ou association en participation ou groupement d'Intérets économique ou de location gérance.,Nettoyage courant des bâtiments,8121Z,54,Wermuth,
7746.,SOC LE GUILLOUS,7 CHEMIN DE L INDUSTRIE,LE CANNET,06110,Le Cannet,04 92 18 11 92,04 92 18 15 85,,,339996563,"1,603","1,498",Mme Evelyne Detoeuf,Personne,Entretien et nettoyage.,Nettoyage courant des bâtiments,8121Z,60,Detoeuf,
6534.,PRIME AREA EVENTS,16 AVENUE DOCTEUR CAPONY,LE CANNET,06110,Le Cannet,,,,,521531830,"2,037","2,102",Mme Sarah Pineda,Personne,"Réalisation, gestion, organisation et promotion des salons professionnels, congrès, foires, et toute autre activité liée a l'événementiel de sociétés et particuliers. la représentation des sociétés étrangères sur le territoire français et européen, la commercialisation de leurs produits et services. conseil pour les affaires et autres conseil de gestion en matière de patrimoine, conseil en immobilier agence commercial.","Organisation de foires, salons professionnels et congrès",8230Z,44,Pineda,
5096.,BS CAST II,45 RUE MERIMEE,LE CANNET,06110,Le Cannet,04 93 39 53 26,,www.astrowi.com,facturation@astrowi.com,482989373,"2,760","2,676",M. Nathan Salomon Bouskila,Personne,Prestations informatiques dont assistance informatique par téléphone création et gestion de sites Web vente à distance de prestations par téléphone.,Autres activités de soutien aux entreprises n.c.a.,8299Z,38,Bouskila,
1925.,LE MICOCOULIER,146 AVENUE JEAN MAUBERT,GRASSE,06130,Grasse,04 93 70 63 86,04 93 40 86 08,,info@ste-marguerite.com,421415357,"6,969","6,258",M. Franck Viale,Personne,"Commerce de plantes, arbustes, pépinières, tous matériels agricoles et horticoles.",Autres cultures non permanentes,0119Z,44,Viale,
3019.,MARCEVAL CRUNCHY NUTS,62 CHEMIN DES CHENES,GRASSE,06130,Grasse,04 93 42 01 85,,,,508870359,"4,720","4,606",Mme Eva Diermayer,Personne,,"Fabrication de cacao, chocolat et de produits de confiserie",1082Z,53,Diermayer,
3577.,AZUREE,133 CHEMIN DE SAINT MARC,GRASSE,06130,Grasse,04 93 40 36 60,04 93 40 36 65,www.azuree.fr,azuree@wanadoo.fr,312179880,"4,013","4,244",M. Alain M Chassigneux,Personne,"Fabrication, achat, vente d'articles chaussants et la maroquinerie.",Fabrication de chaussures,1520Z,73,M Chassigneux,
6996.,SUD GRAPHIC,109 AVENUE SIDI BRAHIM,GRASSE,06130,Grasse,04 93 70 95 15,04 93 77 85 69,www.sudgraphic.com,contact@sudgraphic.com,327629630,"1,850","1,844",M. Richard Verucchi,Personne,Imprimerie.,Autre imprimerie (labeur),1812Z,46,Verucchi,
2775.,MAJOREL,107 AVENUE JEAN MAUBERT,GRASSE,06130,Grasse,04 92 42 06 77,04 92 42 04 99,,majorelfr@aol.com,398966382,"5,068","4,877",M. Allal Jnioui,Personne,"Confection, fabrication, commercialisation de tous articles d'ameublement, de décoration, de jeux et de jouets.",Fabrication de matières plastiques de base,2016Z,60,Jnioui,
1636.,PARFUM COSMETIC WORLD,45 BOULEVARD MARCEL PAGNOL,GRASSE,06130,Grasse,04 92 28 23 30,,,,337530372,"7,984","9,338",M. Patrice Blaizot,Personne,"Toutes opérations de courtage, de négoce de produits aromatiques, de parfums, de savons, de bases essentielles, parfumerie.",Fabrication de parfums et de produits pour la toilette,2042Z,64,Blaizot,
5539.,LABORATOIRE GALIMARD,73 ROUTE DE CANNES,GRASSE,06130,Grasse,04 93 09 20 00,04 93 70 36 22,www.galimard.com,galimard@galimard.com,434035630,"2,496","2,316",M. Jean-Pierre Roux,Personne,"Import-export, vente en gros, en demi-gros ou au détail de parfums, de produits pour la toilette, de savons, de produits d'entretien, de cadeaux et de souvenirs , fabrication, vente en gros, en demi-gros et au détail de parfums, de produits pour la toilette, de cadeaux et de souvenirs .",Fabrication de parfums et de produits pour la toilette,2042Z,72,Roux,
57.,SOC NIEL JEAN,179 BOULEVARD EMMANUEL ROUQUIER,GRASSE,06130,Grasse,04 93 70 05 43,04 93 70 03 54,www.jeanniel.com,info@nielaromes.com,415750306,"27,749","25,299",M. Frederic De Boutiny,Personne,"Fabrique de matières premières pour parfumerie, produits aromatiques, matières colorantes, produits pour parfumerie, savonnerie, droguerie, alimentation et arômes alimentaires.",Fabrication d'huiles essentielles,2053Z,65,De Boutiny,
230.,PAYAN BERTRAND,28 AVENUE JEAN XXIII,GRASSE,06130,Grasse,04 93 40 14 14,,www.payanbertrand.com,info@payanbertrand.com,415550029,"22,426","20,750",Mme Dominique Proal,Personne,Fabrication de matières premières aromatiques.,Fabrication d'huiles essentielles,2053Z,58,Proal,
331.,PARFEX,16 AVENUE LOUISON BOBET,GRASSE,06130,Grasse,04 93 77 96 57,04 93 70 33 99,www.parfex.com,contact@parfex.com,333974657,"20,001","17,740",M. Joel Sabas,Personne,"Achat, mélange, création, commercialisation de matières premières, de compositions aromatiques pour l'industrie de la parfumerie, l'industrie de la cosmétique , l'industrie de produits d'entretien , plus généralement, toute industrie qui met à la disposition du public des produits parfumés .",Fabrication d'huiles essentielles,2053Z,68,Sabas,
1938.,SOCIETE GRASSOISE DE PARFUMERIE,12 BOULEVARD PASTEUR,GRASSE,06130,Grasse,04 92 60 78 60,04 93 36 08 85,www.sgp-edo.com,contact@sgp-edo.eu,300318516,"6,938","7,567",M. Andre Truchi,Personne,"Fabrication d'huiles essentielles, concentrés de parfums",Fabrication d'autres produits chimiques organiques de base,2053Z,71,Truchi,
4286.,SELECTAROME,45 BOULEVARD MARCEL PAGNOL,GRASSE,06130,Grasse,04 93 36 22 22,,,,451315709,"3,329","2,092",M. Sylvain Lavoillotte,Personne,Fabrication achat vente et opérations connexes de produits aromatiques épices colorants et additifs négoce.,Fabrication d'huiles essentielles,2053Z,53,Lavoillotte,
4886.,ALPHACHIM,82 AVENUE PIERRE ZILLER,GRASSE,06130,Grasse,04 93 36 30 95,04 93 40 03 40,,alphachim2@wanadoo.fr,403629835,"2,894","2,943",Mme Pascale Rose Julie Azzam,Personne,"Achat, vente, import-export, fabrication d'huiles essentielles et de toutes matieres premieres chimiques et pharmaceutiques : achat, vente, import-export de tous produits finis",Fabrication d'huiles essentielles,2053Z,46,Azzam,
5849.,LAVOILLOTTE SOLUBAROME,128 AVENUE LOUISON BOBET,GRASSE,06130,Grasse,04 93 75 03 68,09 55 01 46 12,www.solubarome.fr,solubarome@hotmail.com,451321822,"2,325","1,378",M. Didier Lavoillotte,Personne,"Fabrication, vente d'arômes, de produits aromatiques, d'épices et de colorants.",Fabrication d'huiles essentielles,2053Z,55,Lavoillotte,
9029.,REPARATIONS DE PNEUMATIQUES DU SUD-EST,CHEMIN DE LA MADELEINE,GRASSE,06130,Grasse,04 93 42 79 72,04 93 60 32 45,www.massa.fr,pdeleu@massa.fr,696920826,"1,248",699,M. Serge Bonnel,Personne,"Reparation, entretien de pneumatiques et d'articles en caoutchouc : achat, vente a titre sedentaire ou ambulant, en gros, demi-gros et au detail. Representation, entretien de tous vehicules et de tous accessoires pour tous vehicules",Fabrication et rechapage de pneumatiques,2211Z,54,Bonnel,
1049.,SAVIMEX,1 AVENUE LOUISON BOBET,GRASSE,06130,Grasse,04 93 70 41 31,04 93 70 77 21,www.savimex.fr,infos@savimex.fr,326014727,"10,941","9,047",M. Laurent Coyon,Personne,"Moulages par injection et traitements de pieces techniques de precision en matieres plastiques, direction, gestion, conseil de societes analogue",Fabrication de pièces techniques à base de matières plastiques,2229A,62,Coyon,
1872.,AIR REFRESHING CONTROL,114 CHEMIN DE SAINT MARC,GRASSE,06130,Grasse,04 93 70 05 91,04 93 40 44 24,www.areco.fr,contact@areco.fr,417663374,"7,132","6,641",M. Michel Gschwind,Personne,"Recherche, développement, fabrication, vente de biens et services relatifs aux traitements de l'air et des fluides gazeux.",Fabrication d'équipements aérauliques et frigorifiques industriels,2825Z,59,Gschwind,
7102.,AGEFI,114 CHEMIN DE SAINT MARC,GRASSE,06130,Grasse,04 93 70 05 91,04 93 40 44 24,www.areco.fr,,442952123,"1,816","1,551",M. Michel Gschwind,Personne,"Installation, réparation, achat, vente de systèmes d'humidification de l'air et de filtration de l'eau.",Réparation de machines et équipements mécaniques,3312Z,59,Gschwind,
1291.,OMNIUM DE RAMASSAGE ET D ELIMINATION DES DECHETS URBAINS,AVENUE MICHEL CHEVALIER,GRASSE,06130,Grasse,04 93 70 26 20,04 93 70 60 45,www.sarpindustries.fr,oreduiadv@sarpindustries.fr,312273667,"9,524","9,346",M. Thierry Zarka,Personne,,Traitement et élimination des déchets dangereux,3822Z,52,Zarka,
1495.,ENTREPRISE MAURO ET ASSOCIES,133 CHEMIN DE SAINT MARC,GRASSE,06130,Grasse,04 97 05 27 80,04 97 05 27 99,www.mauro.fr,mauro@mauro.fr,353976657,"8,479","7,424",M. Guillaume Gineste,Personne,,Construction de maisons individuelles,4120A,45,Gineste,
2555.,SOCIETE D ENTREPRISE ET D ETUDE DE TRAVAUX PUBLICS ET PARTICULIERS,74 CHEMIN DU LAC,GRASSE,06130,Grasse,04 93 70 37 37,04 93 70 37 38,www.seetp.fr,,323703538,"5,447","6,259",M. Gerard Maccini,Personne,"Entreprise de travaux publics et particuliers : equipements de voirie et reseaux divers. Tous travaux du batiment, gros OEuvre et second OEuvre. Transport routier de marchandises, en zone courte. Location de vehicules. Achat, vente de biens, construction et vente directe ou indirecte d'immeubles a usage habitation, commercial, industriel",Construction de réseaux pour fluides,4221Z,52,Maccini,
4149.,AC BTP,251 ROUTE DE PEGOMAS,GRASSE,06130,Grasse,04 93 40 26 14,04 93 40 26 19,,acbtp@orange.fr,523835429,"3,446","3,203",Mme Alexie Farjanel,Personne,Vrd travaux publics terrassements enrobés adduction d'eau potable.,Construction de réseaux pour fluides,4221Z,27,Farjanel,
5515.,T-2G,115 AVENUE JEAN MAUBERT,GRASSE,06130,Grasse,04 93 60 68 47,04 93 10 53 81,,,441865318,"2,511","2,395",M. Christophe Girardo,Personne,"Terrassement, travaux publics, voirie et réseaux divers.",Travaux de terrassement courants et travaux préparatoires,4312A,43,Girardo,
4410.,LITTORAL SERVICE GENERAL,22 AVENUE JOSEPH HONORE ISNARD,GRASSE,06130,Grasse,04 93 70 49 51,,,,339851180,"3,230","2,999",M. Francois De Oliveira,Personne,,Travaux d'installation électrique dans tous locaux,4321A,49,De Oliveira,
5673.,STME,22 AVENUE JOSEPH HONORE ISNARD,GRASSE,06130,Grasse,06 23 01 55 15,,,,439400920,"2,420","2,516",M. Jean-Pascal Decroix,Personne,Prestations de services dans le domaine électrique.,Travaux d'installation électrique dans tous locaux,4321A,47,Decroix,
8225.,AGIE E,30 CHEMIN DU LAC,GRASSE,06130,Grasse,04 93 70 41 95,04 93 70 25 31,www.agie.com,agie@hotmail.fr,420250367,"1,468","1,819",M. Christian Duguine,Personne,"Vente de tous appareils mécanique de précision, des Regulariteurs Electrohydrauliques, groupes électrogène, Onduleurs. Electricité générale courants forts et courants faibles. câblage de tableaux électriques, électromécanique. étude et réalisation d'automatismes industriels et de systèmes de contrôle de commande.",Travaux d'installation électrique dans tous locaux,4321A,57,Duguine,
8453.,SOCIETE D'EXPLOITATION BELADINA CHABUT,26 BOULEVARD EMMANUEL ROUQUIER,GRASSE,06130,Grasse,04 93 36 49 98,,,,413420183,"1,409","1,485",M. Stephane Chabut,Personne,"Plomberie, sanitaire, chauffage.",Travaux d'installation d'eau et de gaz en tous locaux,4322A,43,Chabut,
7511.,SES POUGET & CO,22 ROUTE DE LA PAOUTE,GRASSE,06130,Grasse,04 93 42 48 67,04 93 42 47 63,,pougetandco@wanadoo.fr,449630557,"1,676","1,664",M. Pascal Fleuriot,Personne,"Entretien chaudières, travaux plomberie, énergie solaire, entretien piscine.",Travaux d'installation d'équipements thermiques et de climatisation,4322B,55,Fleuriot,
10357.,SIDEF,22 AVENUE JOSEPH HONORE ISNARD,GRASSE,06130,Grasse,04 93 60 71 94,04 93 60 71 94,www.sidef-climatisation.com,sidef2@wanadoo.fr,332928738,938,"1,133",M. Sebastien Bedel,Personne,,Travaux d'installation d'équipements thermiques et de climatisation,4322B,42,Bedel,
7621.,EURL BARGOIN LAURENT,ZONE INDUSTRIELLE DU CARRE,GRASSE,06130,Grasse,04 93 70 67 74,,,,480931666,"1,643","1,526",M. Laurent Bargoin,Personne,"Pose de carrelage, de mosaïque, ainsi que toutes activités similaires ou connexes.",Travaux de revêtement des sols et des murs,4333Z,40,Bargoin,
9625.,MIROITERIE VITRERIE DES MARRONNIERS,48 AVENUE DE LA LIBERATION,GRASSE,06130,Grasse,04 93 70 15 15,,,,950013797,"1,094",937,M. Pile Christian,Personne,,Travaux de peinture et vitrerie,4334Z,67,Pile Christian,
3743.,LE SIS RENO,45 BOULEVARD MARCEL PAGNOL,GRASSE,06130,Grasse,04 93 66 00 00,,,,518172580,"3,837","4,010",M. Michel Blasi,Personne,Travaux de second oeuvre du bâtiment.,Autres travaux de finition,4339Z,48,Blasi,
3061.,PERALINE SA,58 ROUTE DE PLASCASSIER,GRASSE,06130,Grasse,04 93 09 16 00,04 93 09 00 06,www.peraline.fr,peraline@club-internet.fr,322788829,"4,646","4,696",M. Alexandre Riethmann,Personne,"Pieces, accessoires automobiles.",Commerce de gros d'équipements automobiles,4531Z,29,Riethmann,
2433.,PAOUTE PNEUS,111 ROUTE DE LA PAOUTE,GRASSE,06130,Grasse,04 93 09 14 14,04 93 70 01 25,,,381192624,"5,701","5,730",M. Patrick Bidon,Personne,,Commerce de détail d'équipements automobiles,4532Z,50,Bidon,
2884.,SIPA A CH BERTHIER COURTIER,30 CHEMIN DU LAC,GRASSE,06130,Grasse,04 93 70 25 50,,,,416950061,"4,909","4,556",M. Herve Ory Lavollee,Personne,Distribution de matiéres premiéres pour les industries des arômes et parfums.,Intermédiaires spécialisés dans le commerce d'autres produits spécifiques,4618Z,57,Ory Lavollee,
7601.,AGRIMAR,ROUTE DE LA MARIGARDE,GRASSE,06130,Grasse,04 92 42 00 71,,,,403518293,"1,648","1,865",M. Luc Cristiani,Personne,"Jardinerie, petit bricolage, petit outillage.","Commerce de gros (commerce interentreprises) de céréales, de tabac non manufacturé, de semences et d'aliments pour le bétail",4621Z,67,Cristiani,
2281.,JUBEMA,ZONE INDUSTRIELLE DU CARRE,GRASSE,06130,Grasse,04 93 09 12 90,04 93 09 26 36,,,503202996,"6,029","5,989",M. Fabrice M Dubois,Personne,,Commerce de gros (commerce interentreprises) alimentaire spécialisé divers,4638B,59,M Dubois,
30.,FELIX POTIN COTE D'AZUR,31 CHEMIN DE SAINTE MARGUERITE,GRASSE,06130,Grasse,04 97 05 22 22,04 97 05 21 22,www.felixpotin.com,contact@felixpotin.com,434285466,"28,787","28,192",M. Frederic Chambon,Personne,"Achat, vente, commercialisation et distribution de tous produits alimentaires et complémentaires à l'alimentation et de produits accessoires alimentaires ou non.",Commerce de gros (commerce interentreprises) alimentaire non spécialisé,4639B,65,Chambon,
68.,MPE,6 CHEMIN DE SAINT JOSEPH,GRASSE,06130,Grasse,04 93 09 19 27,04 93 77 89 88,www.mpe-grasse.fr,sales@mpe-grasse.fr,324332527,"27,293","23,561",M. Remy Scarpa,Personne,Négoce d'huiles essentielles.,Commerce de gros (commerce interentreprises) de parfumerie et de produits de beauté,4645Z,48,Scarpa,
7528.,MATIERES PREMIERES INTERNATIONALES,BOULEVARD MARCEL PAGNOL,GRASSE,06130,Grasse,,,,,343262671,"1,671","1,382",Mme Cecile Delmas,Personne,"Grossiste, repartiteur en fournitures, en produits dietetiques et cosmetiques : en fournitures et en produits de soins pour les animaux. Conseil en communication et travaux bureautiques",Commerce de gros (commerce interentreprises) de parfumerie et de produits de beauté,4645Z,52,Delmas,
154.,GIRARDIN,61 ROUTE DE LA MARIGARDE,GRASSE,06130,Grasse,04 93 70 11 91,,www.girardin.fr,contact@girardin.fr,395066517,"24,366","25,959",M. Marc M Girardin,Personne,Négoce de produits pétroliers.,Commerce de gros (commerce interentreprises) de combustibles et de produits annexes,4671Z,46,M Girardin,
5050.,SANI CREATION,ROUTE DE DRAGUIGNAN,GRASSE,06130,Grasse,04 93 09 14 69,04 93 09 14 69,www.sani-creation.fr,info@sani-creation.com,377572938,"2,787","2,797",M. Jean-Marc Roatta,Personne,,Commerce de gros (commerce interentreprises) de bois et de matériaux de construction,4673A,53,Roatta,
1419.,ETABLISSEMENTS BERNARDI,AVENUE MICHEL CHEVALIER,GRASSE,06130,Grasse,04 93 40 12 15,,,,415850544,"8,846","8,997",M. Pierre Sappa,Personne,"Négoce, importation de matières premières aromatiques pour la parfumerie.",Commerce de gros (commerce interentreprises) de produits chimiques,4675Z,42,Sappa,
4326.,GRASSE CHIMIE'S WORLD,36 AVENUE JEAN MAUBERT,GRASSE,06130,Grasse,04 93 70 88 98,04 93 70 29 71,www.grassechimie.com,contact@grassechimie.com,328517347,"3,298","3,187",Mme Andree Martinez-Galot,Personne,"Achat et vente de produits chimiques, tant en France qu'à l'étranger.",Commerce de gros (commerce interentreprises) de produits chimiques,4675Z,58,Martinez-Galot,
59.,SOC ASTIER DEMAREST,60 ROUTE DE LA PAOUTE,GRASSE,06130,Grasse,04 93 40 56 56,04 93 70 26 90,www.astierdemarest.com,,415550086,"27,670","23,822",Mme Jacqueline Destoumieux,Personne,"Négoce, importation, courtage, représentation de matières premières pour parfumerie, savonnerie, teinturerie, pharmarcie et droguerie",Commerce de gros (commerce interentreprises) non spécialisé,4690Z,81,Destoumieux,
3614.,TRANSPORTS GERBINO,107 AVENUE JEAN MAUBERT,GRASSE,06130,Grasse,04 93 70 95 95,04 93 70 95 96,www.transports-gerbino.fr,gerbino@transports-gerbino.fr,322685553,"3,979","3,893",M. Gabriel Gerbino,Personne,"Transport public routier, services de transport public de marchandises : demenagements, location de vehicules pour le transport routier de marchandises, depositaire de marchandises et gardes-meubles. Le tout pour le compte d'autrui, transport routier de marchandises correspondant a l'exploitation de la zone courte et zone longue, c'est-a-dire les droits de circulation reconnus a l'entreprise par le C.T.D.T. sous l'indicatif no 696413101 (06-843) et par la delivrance d'une licence de classe A a renouvellement periodique, valable en zone longue et portant le no 43.287 ainsi que le vehiculeRenault no 3432 UA 06. Commissionnaire de transport",Transports routiers de fret interurbains,4941A,86,Gerbino,
8005.,ISPACE SYSTEMS & COMMUNICATIONS,1 AVENUE LOUISON BOBET,GRASSE,06130,Grasse,04 93 70 14 30,,,,527660005,"1,525","1,169",M. Rodolphe Billuart,Personne,"L'acquisition, cession de titres de sociétés, prise de participation dans toutes sociétés civil ou commercial.",Programmation informatique,6201Z,47,Billuart,
5962.,FELIX POTIN,31 CHEMIN DE SAINTE MARGUERITE,GRASSE,06130,Grasse,04 93 77 97 38,04 97 05 21 20,www.felixpotin.com,gci@wanadoo.fr,311521660,"2,276","1,069",M. Frederic Chambon,Personne,"Gestion, conseil, investissement, organisation et formation en général, prise de participations dans toutes sociétés constituées ou en voie de constitution , études, conception, commercialisation de tous logiciels et de progiciels informatiques. Achat en vue de la revente de logiciels et de progiciels, ainsi que du matériel informatique. Marchand de biens.",Activités des sociétés holding,6420Z,65,Chambon,
7204.,LE SIS HOLDING,45 BOULEVARD MARCEL PAGNOL,GRASSE,06130,Grasse,,,,,500072798,"1,782","1,082",M. Michel Blasi,Personne,"Prise de participations dans toutes sociétés commerciales, gestion de sociétés et de franchises.",Activités des sociétés holding,6420Z,48,Blasi,
8507.,MEDIFAR,29 ROUTE DE CANNES,GRASSE,06130,Grasse,,,,,412373599,"1,392","1,051",M. Pierre Faraj,Personne,"Création, gestion d'établissements hospitaliers et commerciaux.",Activités des sociétés holding,6420Z,38,Faraj,
9578.,JMCP HOLDING,ROUTE DE LA PAOUTE,GRASSE,06130,Grasse,,,,,419974217,"1,106","1,145",M. Patrick Bidon,Personne,"Prise de tous intérêts et de participations par tous moyens, apports, souscription, achat d'actions, et d'obligations et de tous droits sociaux, dans toutes sociétés, affaires ou entreprises, la gestion des titres de participation et l'animation de ses filiales, la réalisation de toutes prestations administratives, financières, commerciales, comptables, informatiques, de gestion et de direction, tant pour elle-même que pour toutes sociétés au sein de laquelle elle détiendra, directement ou indirectement, une participation et généralement toutes opérations commerciales, financières, industrielles, pouvant se rattacher directement ou indirectement à l'objet social ou susceptible d'en faciliter l'extension ou le développement ou à tout autre objet similaire ou connexe.",Activités des sociétés holding,6420Z,50,Bidon,
10212.,AGEFIM CONSULTANTS SAS,34 TRAVERSE DE LA PAOUTE,GRASSE,06130,Grasse,04 93 09 28 28,04 93 09 01 11,www.syndics.net,agefim@levillageimmobilier.net,351272299,969,932,M. Tjeerd Bangma,Personne,"Transactions et gestion immobilières. gestion locative, syndic de Coproprité.",Agences immobilières,6831Z,56,Bangma,
6057.,GESTION IMMO DAUBEZE ROULLAND,9 AVENUE THIERS,GRASSE,06130,Grasse,04 93 36 09 19,,,,438200032,"2,232","2,087",M. Didierjean Daubeze,Personne,Sa branche d'activité d'administrateurs de biens sur le secteur des Alpes-Maritimes (06) se composant de tous les droits sur l'ensemble des mandats de location et de gestion immobilière. l'entrée en jouissance à compter de l'acceptation de chaque mandat et/ou renouvellement des mandats au bénéfice du cessionnaire.,Administration d'immeubles et autres biens immobiliers,6832A,50,Daubeze,
6623.,SARL SOFIA GESTION,58 BOULEVARD MARCEL PAGNOL,GRASSE,06130,Grasse,04 92 60 77 00,04 92 60 77 01,www.sofia-gestion.com,grasse@sofia-gestion.com,317272037,"2,000","2,213",M. Jacques Colibert,Personne,Exercice de la profession d'expert comptable et de commissariat aux comptes.,Activités comptables,6920Z,69,Colibert,
1075.,AVANTIS CONCEPT,12 ROUTE DE SAINT MATHIEU,GRASSE,06130,Grasse,04 97 01 09 90,04 93 60 36 21,www.avantis-group.com,cannes@avantis-group.com,451819577,"10,758","8,597",M. Christophe Olivari,Personne,"Ingénierie mécanique comprenant les études, le calcul, le pré-dimensionnement, les prototypes, les essais et la réalisation de projets.","Ingénierie, études techniques",7112B,47,Olivari,
1314.,AVANTIS TECHNOLOGY,12 ROUTE DE SAINT MATHIEU,GRASSE,06130,Grasse,04 97 01 09 90,04 93 60 36 21,www.avantis-group.com,contact@avantis-group.com,485163034,"9,386","8,586",M. Christophe Olivari,Personne,"Ingénierie mécanique, études, calcul, pré-dimensionnement, prototypes, essais et réalisation de projets , ingénierie électronique, intégration, simulation et réalisation de projets. Ingénierie en informatique industrielle, programmation et tests de validation .","Ingénierie, études techniques",7112B,47,Olivari,
2006.,AVANTIS ENGINEERING,12 ROUTE DE SAINT MATHIEU,GRASSE,06130,Grasse,05 65 50 33 60,05 65 34 18 31,www.avantis-group.com,siege@avantis-group.com,442969705,"6,730","8,044",M. Christophe Olivari,Personne,"Ingénierie mécanique comprenant les études, le calcul, le prédimensionnement, les prototypes, les essais et la réalisation de projets.","Ingénierie, études techniques",7112B,47,Olivari,
6805.,AVANTIS PROJECT,12 ROUTE DE SAINT MATHIEU,GRASSE,06130,Grasse,04 93 60 36 21,,,,518925730,"1,928","2,496",M. Christophe Olivari,Personne,"L'ingénierie mécanique comprenant l'étude, le calcul, le pré-Dimensionnement, les prototypes, les essais, et la réalisation de projets, l'ingénierie électronique comprenant l'intégration, la simulation et la réalisation de projets, 'ingénierie en informatique industrielle comprenant la programmation et les tests de validation, ateliers de montage, usinage, modification de pièces.","Ingénierie, études techniques",7112B,47,Olivari,
9914.,DELTA REALISATION,26 CHEMIN DE PEYLOUBET,GRASSE,06130,Grasse,04 97 01 03 00,04 97 01 03 01,www.deltarealisation.com,,502821754,"1,032","1,289",M. Bertrand Salabert,Personne,Études techniques et économiques de la construction.,"Ingénierie, études techniques",7112B,39,Salabert,
9863.,A-PHARMACONSULT SAS,107 AVENUE JEAN MAUBERT,GRASSE,06130,Grasse,04 93 42 32 39,04 93 70 90 75,www.a-pharmaconsult.com,a-consult@a-pharmaconsult.com,484371448,"1,044",941,M. Bjarne Alstrom,Personne,"Recherche, développement en sciences physiques et naturelles , rachat d'entreprises, assistance à toutes personnes en vue de favoriser le développement de leurs activités et leur gestion .",Recherche-développement en autres sciences physiques et naturelles,7219Z,69,Alstrom,
7179.,GENERAL CONTRACTING,28 ROUTE DE CANNES,GRASSE,06130,Grasse,,,,,533554911,"1,789",n.d.,M. Gilbert Chiossone,Personne,"Louage d'ouvrage tous corps d'état ou par corps d état séparé de toute construction d immeuble, villas, bâtiments industriels ou ouvrages de génie civil.","Activités spécialisées, scientifiques et techniques diverses",7490B,64,Chiossone,
9673.,GROUPE AVEYA SANTE,128 AVENUE LOUISON BOBET,GRASSE,06130,Grasse,06 58 19 17 48,,www.meditech-sante.com,,537594525,"1,082",978,M. Ludovic Robin,Personne,"L'achat, la location et ou la revente de matériels médicaux et l'activité d'éditeur de logiciels.",Location et location-bail d'autres biens personnels et domestiques,7729Z,42,Robin,
3657.,LE SIS,45 BOULEVARD MARCEL PAGNOL,GRASSE,06130,Grasse,04 93 66 00 00,,,,453672834,"3,937","2,124",M. Michel Blasi,Personne,"Décontamination, sauvetage, passivation, assainissement, déblaiement, désodorisation, nettoyage, remise en état et rénovation de meubles.",Autres activités de nettoyage des bâtiments et nettoyage industriel,8122Z,48,Blasi,
